Time,sensor_m_flow.m_flow,sensor_m_flow6.m_flow,sensor_m_flow3.m_flow,sensor_m_flow4.m_flow
8590,-4.5719568945610731e-14,-5.1191623171492655e-18,0.10037528723478317,-0.10037528723478317
8600,-6.9107296348945493e-15,7.9013061130540936e-20,0.10948701947927475,-0.10948701947927475
8610,-1.0033649478895798e-15,7.0048068604403273e-19,0.11859871447086334,-0.11859871447086334
8620,-8.1736899317361769e-17,9.415462809271825e-20,0.12771038711071014,-0.12771038711071014
8630,-2.434230084471255e-17,-6.8561650893039624e-19,0.13682198524475098,-0.13682198524475098
8640,7.264179681263986e-19,-1.5741380439757891e-18,0.14593358337879181,-0.14593358337879181
8650,-1.657717820634219e-18,-7.5521887194124063e-20,0.15504512190818787,-0.15504512190818787
8660,-3.0933197073184153e-19,5.3566209909713778e-20,0.16415660083293915,-0.16415660083293915
8670,1.9576796961822129e-19,-6.5273080630500837e-19,0.17326807975769043,-0.17326807975769043
8680,1.4649487555527175e-19,-1.4202640452722966e-18,0.18237952888011932,-0.18237952888011932
8690,-1.5001386990213425e-19,-1.3408802456686185e-18,0.19149094820022583,-0.19149094820022583
8700,-1.3839654148265606e-20,-1.5230866279181242e-19,0.20060226321220398,-0.20060226321220398
8710,-3.9718579607768144e-21,1.1108819784146074e-19,0.20971359312534332,-0.20971359312534332
8720,-8.161899247424499e-22,-2.0659861696341888e-21,0.21882486343383789,-0.21882486343383789
8730,-1.1174203362858597e-22,-9.85154347558514e-24,0.22793608903884888,-0.22793608903884888
8740,-1.3161844436468598e-23,1.5384679655804812e-22,0.23704728484153748,-0.23704728484153748
8750,-2.0574687532435398e-24,3.2121701163292853e-21,0.2461584210395813,-0.2461584210395813
8760,6.2074534022492291e-26,-1.5083914735304355e-20,0.25526952743530273,-0.25526952743530273
8770,-1.3325931449059095e-25,1.3392408536661016e-21,0.26438057422637939,-0.26438057422637939
8780,-1.8244946038530623e-26,1.8801526133233352e-20,0.27349159121513367,-0.27349159121513367
8790,1.7036366450157323e-26,1.6903148243011288e-20,0.28260257840156555,-0.28260257840156555
8800,8.3929045636841827e-27,1.4947234448189905e-20,0.29171356558799744,-0.29171356558799744
8810,-9.79409640579565e-27,2.3415717304638869e-20,0.30082443356513977,-0.30082443356513977
8820,-4.4505594787045433e-27,1.2888867387479154e-20,0.30993521213531494,-0.30993521213531494
8830,-1.4680695668373197e-27,6.1996940533811506e-21,0.31904596090316772,-0.31904596090316772
8840,-1.269770066047501e-28,2.4899873194015068e-21,0.32815670967102051,-0.32815670967102051
8850,1.9779506362619719e-28,9.0782668330911314e-22,0.33726745843887329,-0.33726745843887329
8860,3.6753423908403053e-29,6.0758208283996545e-22,0.34637817740440369,-0.34637817740440369
8870,-1.7416198931568357e-28,7.4991384521006625e-22,0.35548889636993408,-0.35548889636993408
8880,-9.3574074872348911e-29,5.0177238419283736e-22,0.36459952592849731,-0.36459952592849731
8890,5.2533639241299242e-28,-9.6360169890668435e-22,0.37371015548706055,-0.37371015548706055
8900,5.7915154543928693e-28,-1.0078431389295919e-21,0.38282054662704468,-0.38282054662704468
8910,2.4322082970355444e-28,-3.8859432079416154e-22,0.39193090796470642,-0.39193090796470642
8920,-4.5158419917686461e-29,-1.758822975036327e-23,0.40104126930236816,-0.40104126930236816
8930,-2.0662647557149562e-28,1.4293440161459172e-22,0.41015163064002991,-0.41015163064002991
8940,-1.8962141694221776e-28,1.3045492501658292e-22,0.41926199197769165,-0.41926199197769165
8950,2.9622945141738818e-29,-1.7823278745682922e-23,0.42837232351303101,-0.42837232351303101
8960,2.2159239568684273e-28,-1.3158809530794032e-22,0.43748253583908081,-0.43748253583908081
8970,1.0032816072403804e-28,-5.9018262592649976e-23,0.44659256935119629,-0.44659256935119629
8980,1.2486285311948547e-29,-1.2691331504993146e-23,0.45570266246795654,-0.45570266246795654
8990,-3.6821634930355281e-29,1.1018152002993044e-23,0.46481272578239441,-0.46481272578239441
9000,-4.5610899102527013e-29,1.5708774954561451e-23,0.47392275929450989,-0.47392275929450989
9010,-1.5023138290288643e-29,4.952247093063145e-24,0.48303279280662537,-0.48303279280662537
9020,5.0674141842931213e-29,-1.7706601484635303e-23,0.49214276671409607,-0.49214276671409607
9030,2.3043002477474289e-29,8.9137822914023886e-20,0.50083714723587036,-0.50083714723587036
9040,3.9971758169767958e-30,6.6844781955488409e-20,0.51016587018966675,-0.51016587018966675
9050,-5.8107386576966121e-30,-1.4748050326039416e-20,0.51976227760314941,-0.51976227760314941
9060,-6.9751780954064784e-30,-1.0266287216411945e-19,0.52926051616668701,-0.52926051616668701
9070,-5.8539820855978259e-31,-1.4437817206653683e-19,0.53830200433731079,-0.53830200433731079
9078,6.8410837183957481e-30,-5.0324065805289382e-19,0.5448412299156189,-0.5448412299156189
9078,6.8410837183957481e-30,-5.0324065805289382e-19,0.5448412299156189,-0.5448412299156189
9080,4.628374529809023e-30,-1.8524879131656687e-19,0.54668283462524414,-0.54668283462524414
9090,6.4840066206329038e-31,-7.7284256073685809e-22,0.55536806583404541,-0.55536806583404541
9100,8.1621278972862863e-32,6.9110740754768622e-23,0.56390541791915894,-0.56390541791915894
9110,1.8625891659771462e-32,-1.8626192419069541e-23,0.5724494457244873,-0.5724494457244873
9120,-7.8799208706074348e-34,6.5838654582716786e-24,0.5809943675994873,-0.5809943675994873
9130,1.1963820589169341e-33,-4.2069478758893427e-24,0.58953922986984253,-0.58953922986984253
9140,9.5359830259847977e-34,-2.8560429027905379e-24,0.59808403253555298,-0.59808403253555298
9150,1.3770247068704847e-34,-4.9384211224077889e-25,0.60662877559661865,-0.60662877559661865
9160,-2.3557416477482319e-34,5.5432383132504099e-25,0.61517351865768433,-0.61517351865768433
9170,-2.3057039297228484e-34,5.4757068893828336e-25,0.62371820211410522,-0.62371820211410522
9180,7.3993357321024596e-35,-2.5685981605765582e-25,0.63226288557052612,-0.63226288557052612
9190,9.3303739111691136e-35,-1.5825265896524018e-25,0.6408073902130127,-0.6408073902130127
9200,-4.6232255954744176e-36,8.0296789524790121e-26,0.64935195446014404,-0.64935195446014404
9210,6.1895840148469492e-36,-6.2650343072216705e-24,0.65789645910263062,-0.65789645910263062
9220,8.7301575919009151e-37,6.174885649555729e-24,0.66644084453582764,-0.66644084453582764
9230,1.210283434913124e-37,1.3140424401645823e-21,0.67497712373733521,-0.67497712373733521
9233,6.6809325730432007e-38,5.2473290659132771e-22,0.67751502990722656,-0.67751502990722656
9233,6.6809325730432007e-38,5.2473290659132771e-22,0.67751502990722656,-0.67751502990722656
9240,1.6629885703300873e-38,-1.6579898338087782e-21,0.68070483207702637,-0.68070483207702637
9250,2.1910534632367121e-39,1.5551269408503213e-22,0.6828768253326416,-0.6828768253326416
9260,3.1276701464037052e-40,1.4728790406945303e-23,0.68511384725570679,-0.68511384725570679
9270,4.4216571743305278e-41,4.9554743230264042e-23,0.68738633394241333,-0.68738633394241333
9280,7.1129910049127715e-42,3.1801456250438388e-20,0.68965840339660645,-0.68965840339660645
9290,1.9197788961249994e-43,1.6665750638382836e-20,0.69193029403686523,-0.69193029403686523
9300,4.0917915158284658e-43,-2.0115610780611808e-20,0.69420218467712402,-0.69420218467712402
9310,1.0369608636003646e-43,5.371864782593865e-21,0.69647407531738281,-0.69647407531738281
9320,-3.363116314379561e-44,1.0579234522182617e-20,0.6987459659576416,-0.6987459659576416
9330,-4.3440252394069329e-44,2.5906000276485878e-21,0.70101791620254517,-0.70101791620254517
9340,3.363116314379561e-44,-1.1526148720609128e-20,0.70328980684280396,-0.70328980684280396
9350,2.6624670822171524e-44,-8.3635189681535267e-21,0.70556169748306274,-0.70556169748306274
9360,1.2611686178923354e-44,-4.6109155684915492e-21,0.70783358812332153,-0.70783358812332153
9370,4.2038953929744512e-45,-1.8845268558780279e-21,0.71010547876358032,-0.71010547876358032
9380,-2.8025969286496341e-45,-8.8218889321604751e-23,0.71237736940383911,-0.71237736940383911
9390,-5.6051938572992683e-45,8.7392580873668536e-22,0.7146492600440979,-0.7146492600440979
9400,-4.2038953929744512e-45,1.097606371779017e-21,0.71692115068435669,-0.71692115068435669
9410,-2.8025969286496341e-45,6.7830451060031129e-22,0.71919304132461548,-0.71919304132461548
