Time,sensor_m_flow.m_flow,sensor_m_flow6.m_flow,sensor_m_flow3.m_flow,sensor_m_flow4.m_flow
0,0,0,0,0
8.8196122760564322e-07,0,0,0,0
8.8196122760564322e-07,0,0,0,0
10,0,0,0,0
20,0,0,0,0
20,0,0,0,0
30,0,0,0,0
40,0,0,0,0
50,0,0,0,0
60,0,0,0,0
70,0,0,0,0
80,0,0,0,0
90,0,0,0,0
100,0,0,0,0
110,0,0,0,0
120,0,0,0,0
130,0,0,0,0
140,0,0,0,0
150,0,0,0,0
160,0,0,0,0
170,0,0,0,0
180,0,0,0,0
190,0,0,0,0
200,0,0,0,0
210,0,0,0,0
220,0,0,0,0
230,0,0,0,0
240,0,0,0,0
250,0,0,0,0
260,0,0,0,0
270,0,0,0,0
280,0,0,0,0
290,0,0,0,0
300,0,0,0,0
310,0,0,0,0
320,0,0,0,0
330,0,0,0,0
340,0,0,0,0
350,0,0,0,0
360,0,0,0,0
370,0,0,0,0
380,0,0,0,0
390,0,0,0,0
400,0,0,0,0
410,0,0,0,0
420,0,0,0,0
430,0,0,0,0
440,0,0,0,0
450,0,0,0,0
460,0,0,0,0
470,0,0,0,0
480,0,0,0,0
490,0,0,0,0
500,0,0,0,0
510,0,0,0,0
520,0,0,0,0
530,0,0,0,0
540,0,0,0,0
550,0,0,0,0
560,0,0,0,0
570,0,0,0,0
580,0,0,0,0
590,0,0,0,0
600,0,0,0,0
610,0,0,0,0
620,0,0,0,0
630,0,0,0,0
640,0,0,0,0
650,0,0,0,0
660,0,0,0,0
670,0,0,0,0
680,0,0,0,0
690,0,0,0,0
700,0,0,0,0
710,0,0,0,0
720,0,0,0,0
730,0,0,0,0
740,0,0,0,0
750,0,0,0,0
760,0,0,0,0
770,0,0,0,0
780,0,0,0,0
790,0,0,0,0
800,0,0,0,0
810,0,0,0,0
820,0,0,0,0
830,0,0,0,0
840,0,0,0,0
850,0,0,0,0
860,0,0,0,0
870,0,0,0,0
880,0,0,0,0
890,0,0,0,0
900,0,0,0,0
910,0,0,0,0
920,0,0,0,0
930,0,0,0,0
940,0,0,0,0
950,0,0,0,0
960,0,0,0,0
970,0,0,0,0
980,0,0,0,0
990,0,0,0,0
1000,0,0,0,0
1010,0,0,0,0
1020,0,0,0,0
1030,0,0,0,0
1040,0,0,0,0
1050,0,0,0,0
1060,0,0,0,0
1070,0,0,0,0
1080,0,0,0,0
1090,0,0,0,0
1100,0,0,0,0
1110,0,0,0,0
1120,0,0,0,0
1130,0,0,0,0
1140,0,0,0,0
1150,0,0,0,0
1160,0,0,0,0
1170,0,0,0,0
1180,0,0,0,0
1190,0,0,0,0
1200,0,0,0,0
1210,0,0,0,0
1220,0,0,0,0
1230,0,0,0,0
1240,0,0,0,0
1250,0,0,0,0
1260,0,0,0,0
1270,0,0,0,0
1280,0,0,0,0
1290,0,0,0,0
1300,0,0,0,0
1310,0,0,0,0
1320,0,0,0,0
1330,0,0,0,0
1340,0,0,0,0
1350,0,0,0,0
1360,0,0,0,0
1370,0,0,0,0
1380,0,0,0,0
1390,0,0,0,0
1400,0,0,0,0
1410,0,0,0,0
1420,0,0,0,0
1430,0,0,0,0
1440,0,0,0,0
1450,0,0,0,0
1460,0,0,0,0
1470,0,0,0,0
1480,0,0,0,0
1490,0,0,0,0
1500,0,0,0,0
1510,0,0,0,0
1520,0,0,0,0
1530,0,0,0,0
1539,0,0,0,0
1539,0,0,0,0
1540,0,0,0,0
1550,0,0,0,0
1560,0,0,0,0
1570,0,0,0,0
1580,0,0,0,0
1590,0,0,0,0
1600,0,0,0,0
1610,0,0,0,0
1620,0,0,0,0
1630,0,0,0,0
1640,0,0,0,0
1650,0,0,0,0
1660,0,0,0,0
1670,0,0,0,0
1680,0,0,0,0
1690,0,0,0,0
1700,0,0,0,0
1702,0,0,0,0
1702,0,0,0,0
1702,0,0,0,0
1702,0,0,0,0
1704.6416015625,0,0,0,0
1704.6416015625,0,0,0,0
1704.642578125,0.0020000000949949026,0.0020000000949949026,0,0
1704.642578125,0.0020000000949949026,0.0020000000949949026,0,0
1710,0.064254224300384521,0.064254224300384521,0,4.7106969763788858e-20
1720,0.0091380979865789413,0.0091380979865789413,0,-1.5099411447092653e-20
1730,0.0094064902514219284,0.0094064902514219284,0,4.0760503415923327e-19
1740,0.013577435165643692,0.013577435165643692,0,1.302046132161997e-19
1750,0.017394686117768288,0.017394686117768288,0,-6.0965729910123364e-18
1760,0.021167093887925148,0.021167093887925148,0,-1.1730974117602001e-18
1770,0.024958999827504158,0.024958999827504158,0,-1.5332630174040578e-19
1780,0.028737703338265419,0.028737703338265419,0,2.2780417067921428e-19
1790,0.03252556174993515,0.03252556174993515,0,-4.1986912411367416e-19
1800,0.036307420581579208,0.036307420581579208,0,4.0445303658570581e-19
1810,0.040093541145324707,0.040093541145324707,0,-1.3555358181715268e-18
1820,0.043876193463802338,0.043876193463802338,0,-3.4388309812302835e-19
1830,0.047661356627941132,0.047661356627941132,0,-5.687480375919003e-19
1840,0.051444917917251587,0.051444917917251587,0,9.9188953990762253e-19
1850,0.055229537189006805,0.055229537189006805,0,1.0384997327836107e-20
1860,0.059013351798057556,0.059013351798057556,0,-1.8125873861348815e-21
1870,0.062797777354717255,0.062797777354717255,0,-1.6052869581204997e-21
1880,0.066581897437572479,0.066581897437572479,0,-1.0668621525178237e-21
1890,0.070366114377975464,0.070366114377975464,0,-1.7773704138935065e-20
1900,0.074150316417217255,0.074150316417217255,0,-1.7631324060412241e-20
1910,0.077934451401233673,0.077934451401233673,0,-2.0827173515514943e-20
1920,0.081718601286411285,0.081718601286411285,0,-2.3493840636085381e-20
1930,0.085502773523330688,0.085502773523330688,0,-3.0783468335024105e-20
1940,0.089286945760250092,0.089286945760250092,0,-5.2381664654317967e-20
1950,0.093071103096008301,0.093071103096008301,0,-7.658556391368483e-20
1960,0.09685526043176651,0.09685526043176651,0,-9.1725198633650008e-20
1970,0.10063941031694412,0.10063941031694412,0,-8.6163481764087802e-20
1980,0.10442354530096054,0.10442354530096054,0,-1.6895140746940862e-19
1990,0.10820768028497696,0.10820768028497696,0,-3.2610833092775919e-19
2000,0.11199181526899338,0.11199181526899338,0,-4.2071445100091507e-19
2010,0.1157759502530098,0.1157759502530098,0,-4.6261802496556777e-19
2020,0.11956007778644562,0.11956007778644562,0,-4.616399355900121e-19
2030,0.12334421277046204,0.12334421277046204,0,-4.2757345848959892e-19
2040,0.12712834775447845,0.12712834775447845,0,-3.7018441722309999e-19
2050,0.13091246783733368,0.13091246783733368,0,-2.9921113159391967e-19
2060,0.1346966028213501,0.1346966028213501,0,-2.2436441765009494e-19
2070,0.13848072290420532,0.13848072290420532,0,-1.5532763938308369e-19
2080,0.14226484298706055,0.14226484298706055,0,-1.0175659240549104e-19
2090,0.14604896306991577,0.14604896306991577,0,-7.3279607348645943e-20
2100,0.1498330682516098,0.1498330682516098,0,-7.790532411866465e-20
2110,0.15361714363098145,0.15361714363098145,0,-8.448146814959804e-20
2120,0.15740121901035309,0.15740121901035309,0,-8.054755871500923e-20
2130,0.16118530929088593,0.16118530929088593,0,-6.8494477364951783e-20
2140,0.16496938467025757,0.16496938467025757,0,-5.070632664586545e-20
2150,0.16875347495079041,0.16875347495079041,0,-2.9560462412318847e-20
2160,0.17253755033016205,0.17253755033016205,0,-7.4274655542346085e-21
2170,0.17632164061069489,0.17632164061069489,0,1.3328832961510032e-20
2180,0.18010571599006653,0.18010571599006653,0,3.0351366631367449e-20
2190,0.18388979136943817,0.18388979136943817,0,4.1289831799532495e-20
2200,0.18767386674880981,0.18767386674880981,0,4.3800683618974658e-20
2210,0.19145794212818146,0.19145794212818146,0,3.5547136859231635e-20
2220,0.19524200260639191,0.19524200260639191,0,1.4199177215519269e-20
2230,0.19902606308460236,0.19902606308460236,0,-7.3642636239980153e-20
2240,0.20281009376049042,0.20281009376049042,0,-2.4145415005119949e-19
2250,0.20659412443637848,0.20659412443637848,0,-3.646540427439353e-19
2260,0.21037815511226654,0.21037815511226654,0,-4.4768669112594964e-19
2270,0.2141621857881546,0.2141621857881546,0,-4.9498394797354264e-19
2280,0.21794621646404266,0.21794621646404266,0,-5.1096507740806713e-19
2290,0.22173024713993073,0.22173024713993073,0,-5.0003698754047595e-19
2300,0.22551427781581879,0.22551427781581879,0,-4.665938685798039e-19
2310,0.22929829359054565,0.22929829359054565,0,-4.1501742547771509e-19
2320,0.23308232426643372,0.23308232426643372,0,-3.4967690377789704e-19
2330,0.23686635494232178,0.23686635494232178,0,-2.7492898621848412e-19
2340,0.24065037071704865,0.24065037071704865,0,-1.9511780565675461e-19
2350,0.24443438649177551,0.24443438649177551,0,-1.1457494506913074e-19
2360,0.24821838736534119,0.24821838736534119,0,-7.2129451480982172e-19
2370,0.25200235843658447,0.25200235843658447,0,-1.9061781646243485e-18
2380,0.25578632950782776,0.25578632950782776,0,-2.8712224883297516e-18
2390,0.25957030057907104,0.25957030057907104,0,-3.6324445460184134e-18
2400,0.26335424184799194,0.26335424184799194,0,-4.205815954547814e-18
2410,0.26713821291923523,0.26713821291923523,0,-4.6072628358417431e-18
2420,0.27092218399047852,0.27092218399047852,0,-4.8526670576612189e-18
2430,0.2747061550617218,0.2747061550617218,0,-4.9578637520626502e-18
2440,0.27849012613296509,0.27849012613296509,0,-4.9386437969396743e-18
2450,0.28227406740188599,0.28227406740188599,0,-4.810753816023157e-18
2460,0.28605803847312927,0.28605803847312927,0,-4.5898928701587421e-18
2470,0.28984200954437256,0.28984200954437256,0,-4.2917165932099145e-18
2480,0.29362595081329346,0.29362595081329346,0,-3.9318355376967751e-18
2490,0.29740992188453674,0.29740992188453674,0,-3.5258135204348152e-18
2500,0.30119386315345764,0.30119386315345764,0,-3.0891707244622141e-18
2510,0.30497783422470093,0.30497783422470093,0,-2.6373810107028483e-18
2520,0.30876177549362183,0.30876177549362183,0,-2.1858737791226694e-18
2530,0.31254574656486511,0.31254574656486511,0,-1.7500327279587854e-18
2540,0.31632968783378601,0.31632968783378601,0,-1.3451966809000734e-18
2550,0.32011362910270691,0.32011362910270691,0,-9.8665896670172003e-19
2560,0.32389757037162781,0.32389757037162781,0,-6.8966783277552783e-19
2570,0.32768148183822632,0.32768148183822632,0,-4.6942629009355032e-19
2580,0.33146539330482483,0.33146539330482483,0,-5.5392739085799942e-19
2590,0.33524927496910095,0.33524927496910095,0,-1.2357496223186149e-18
2600,0.33903312683105469,0.33903312683105469,0,-1.8131718377052643e-18
2610,0.34281697869300842,0.34281697869300842,0,-2.2928726932837006e-18
2620,0.34660086035728455,0.34660086035728455,0,-2.6815121303583181e-18
2630,0.35038471221923828,0.35038471221923828,0,-2.9857305480915392e-18
2640,0.35416856408119202,0.35416856408119202,0,-3.2121497340820041e-18
2650,0.35795241594314575,0.35795241594314575,0,-3.367372037183958e-18
2660,0.36173626780509949,0.36173626780509949,0,-3.4579807810975573e-18
2670,0.36552011966705322,0.36552011966705322,0,-3.4905404711640227e-18
2680,0.36930397152900696,0.36930397152900696,0,-3.4715963807753332e-18
2690,0.37308782339096069,0.37308782339096069,0,-3.4076747581693792e-18
2700,0.37687167525291443,0.37687167525291443,0,-3.3052828264299621e-18
2710,0.38065552711486816,0.38065552711486816,0,-3.1709083698964884e-18
2720,0.3844393789768219,0.3844393789768219,0,-3.0110205613445823e-18
2730,0.38822323083877563,0.38822323083877563,0,-2.8320695483957791e-18
2740,0.39200708270072937,0.39200708270072937,0,-2.6404858331320661e-18
2750,0.39579093456268311,0.39579093456268311,0,-2.4426813060716481e-18
2760,0.39957478642463684,0.39957478642463684,0,-2.2450486257834879e-18
2770,0.40335863828659058,0.40335863828659058,0,-2.0539618392727661e-18
2780,0.40714246034622192,0.40714246034622192,0,-1.8757749344148088e-18
2790,0.41092631220817566,0.41092631220817566,0,-1.7168235977138893e-18
2800,0.41471013426780701,0.41471013426780701,0,-1.5834243871226156e-18
2810,0.41849398612976074,0.41849398612976074,0,-1.4818745252467775e-18
2820,0.42227780818939209,0.42227780818939209,0,-1.4184522095380758e-18
2830,0.42606157064437866,0.42606157064437866,0,-6.8521165571933982e-19
2840,0.42984530329704285,0.42984530329704285,0,2.8074988203841392e-19
2850,0.43362903594970703,0.43362903594970703,0,6.8532565154750728e-19
2860,0.43741276860237122,0.43741276860237122,0,6.5660594067966616e-19
2870,0.44119653105735779,0.44119653105735779,0,3.2229890571301107e-19
