Time,T_Charge_Inlet.T,T_charge_outlet.T,T_discharge_Inlet.T,T_discharge_outlet.T,thermocline_Insulation.port_a.m_flow,thermocline_Insulation.port_b.m_flow,pipe2.port_a.p,pipe2.port_b.p,chromoloxHeater_Power.y,sensor_T.T,Chromolox_exit_temperature.T
800,571.84136962890625,546.8525390625,521.86376953125,571.84136962890625,0,0,18081.630859375,17349.943359375,200000,498.14578247070313,598.14544677734375
810,571.84765625,546.8565673828125,521.86553955078125,571.84765625,0,0,18081.638671875,17349.951171875,200000,498.145751953125,598.1455078125
820,571.853271484375,546.86016845703125,521.86712646484375,571.853271484375,0,0,18081.64453125,17349.95703125,200000,498.14572143554688,598.1455078125
830,571.8582763671875,546.8634033203125,521.8685302734375,571.8582763671875,0,0,18081.650390625,17349.962890625,200000,498.14569091796875,598.14556884765625
840,571.86273193359375,546.8662109375,521.8697509765625,571.86273193359375,0,0,18081.65625,17349.966796875,200000,498.14566040039063,598.14556884765625
850,571.86663818359375,546.86871337890625,521.87078857421875,571.86663818359375,0,0,18081.66015625,17349.97265625,200000,498.14566040039063,598.1456298828125
860,571.8699951171875,546.87078857421875,521.87164306640625,571.8699951171875,0,0,18081.6640625,17349.9765625,200000,498.1456298828125,598.1456298828125
870,571.87286376953125,546.87255859375,521.87225341796875,571.87286376953125,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
880,571.87518310546875,546.87396240234375,521.872802734375,571.87518310546875,0,0,18081.669921875,17349.982421875,200000,498.14559936523438,598.1456298828125
890,571.87701416015625,546.87506103515625,521.87310791015625,571.87701416015625,0,0,18081.673828125,17349.984375,200000,498.14559936523438,598.14569091796875
900,571.87835693359375,546.8758544921875,521.873291015625,571.87835693359375,0,0,18081.67578125,17349.986328125,200000,498.14559936523438,598.14569091796875
910,571.8792724609375,546.87628173828125,521.873291015625,571.8792724609375,0,0,18081.67578125,17349.98828125,200000,498.14559936523438,598.14569091796875
920,571.87969970703125,546.87646484375,521.8731689453125,571.87969970703125,0,0,18081.677734375,17349.98828125,200000,498.14559936523438,598.14569091796875
930,571.87969970703125,546.8763427734375,521.8729248046875,571.87969970703125,0,0,18081.677734375,17349.98828125,200000,498.14559936523438,598.14569091796875
940,571.87933349609375,546.87591552734375,521.87249755859375,571.87933349609375,0,0,18081.677734375,17349.98828125,200000,498.14559936523438,598.14569091796875
950,571.8785400390625,546.875244140625,521.8719482421875,571.8785400390625,0,0,18081.677734375,17349.98828125,200000,498.14559936523438,598.14569091796875
960,571.8773193359375,546.87432861328125,521.87127685546875,571.8773193359375,0,0,18081.67578125,17349.98828125,200000,498.14559936523438,598.14569091796875
970,571.87579345703125,546.8731689453125,521.87054443359375,571.87579345703125,0,0,18081.67578125,17349.986328125,200000,498.14559936523438,598.14569091796875
980,571.8739013671875,546.87176513671875,521.86962890625,571.8739013671875,0,0,18081.673828125,17349.984375,200000,498.14559936523438,598.14569091796875
990,571.8717041015625,546.8701171875,521.86859130859375,571.8717041015625,0,0,18081.671875,17349.982421875,200000,498.14559936523438,598.14569091796875
1000,571.869140625,546.8682861328125,521.86749267578125,571.869140625,0,0,18081.669921875,17349.98046875,200000,498.1456298828125,598.1456298828125
1010,571.86627197265625,546.86627197265625,521.86627197265625,571.86627197265625,0,0,18081.66796875,17349.978515625,200000,498.1456298828125,598.1456298828125
