Time,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[1].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[100].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[200].T,thermocline_Insulation.simpleWall[1].material.T,thermocline_Insulation.simpleWall[100].material.T,thermocline_Insulation.simpleWall[200].material.T
280,493.1102294921875,493.1102294921875,493.1102294921875,493.04837036132813,493.04837036132813,493.04837036132813
290,493.10858154296875,493.10858154296875,493.10858154296875,493.04669189453125,493.04669189453125,493.04669189453125
300,493.10693359375,493.10693359375,493.10693359375,493.0450439453125,493.0450439453125,493.0450439453125
310,493.10525512695313,493.10525512695313,493.10525512695313,493.04339599609375,493.04339599609375,493.04339599609375
320,493.10360717773438,493.10360717773438,493.10360717773438,493.041748046875,493.041748046875,493.041748046875
330,493.10195922851563,493.10195922851563,493.10195922851563,493.04010009765625,493.04010009765625,493.04010009765625
340,493.10031127929688,493.10031127929688,493.10031127929688,493.0384521484375,493.0384521484375,493.0384521484375
350,493.09866333007813,493.09866333007813,493.09866333007813,493.03680419921875,493.03680419921875,493.03680419921875
360,493.09698486328125,493.09698486328125,493.09698486328125,493.03515625,493.03515625,493.03515625
370,493.0953369140625,493.0953369140625,493.0953369140625,493.03350830078125,493.03350830078125,493.03350830078125
380,493.09368896484375,493.09368896484375,493.09368896484375,493.0318603515625,493.0318603515625,493.0318603515625
390,493.092041015625,493.092041015625,493.092041015625,493.03021240234375,493.03021240234375,493.03021240234375
400,493.09039306640625,493.09039306640625,493.09039306640625,493.028564453125,493.028564453125,493.028564453125
410,493.0887451171875,493.0887451171875,493.0887451171875,493.02694702148438,493.02694702148438,493.02694702148438
420,493.08709716796875,493.08709716796875,493.08709716796875,493.02529907226563,493.02529907226563,493.02529907226563
430,493.08544921875,493.08544921875,493.08544921875,493.02365112304688,493.02365112304688,493.02365112304688
440,493.08377075195313,493.08377075195313,493.08377075195313,493.02200317382813,493.02200317382813,493.02200317382813
450,493.08212280273438,493.08212280273438,493.08212280273438,493.02035522460938,493.02035522460938,493.02035522460938
460,493.08047485351563,493.08047485351563,493.08047485351563,493.01870727539063,493.01870727539063,493.01870727539063
470,493.07882690429688,493.07882690429688,493.07882690429688,493.01705932617188,493.01705932617188,493.01705932617188
480,493.07717895507813,493.07717895507813,493.07717895507813,493.01544189453125,493.01544189453125,493.01544189453125
